file,sequence_id,frame_index,layer,cluster,left_global_id,right_global_id,left_slot,right_slot,slot_delta,center_dx_m,center_dy_m,center_xy_distance_m,model_surface_gap_x_m,relation
C01_F00_left_complex_start.ply,C01,0,1,left,0,1,0,1,1,1.223,0.02,1.2231635213658067,0.024750064000000238,DIRECT_CLUSTER_NEIGHBOR
C01_F00_left_complex_start.ply,C01,0,1,left,1,2,1,2,1,1.248,-0.03,1.248360524848491,0.024750027999999924,DIRECT_CLUSTER_NEIGHBOR
C01_F01_far_gap_new_yaw.ply,C01,1,1,left,0,1,0,1,1,1.263,-0.03,1.2633562442953292,0.06475006400000005,DIRECT_CLUSTER_NEIGHBOR
C01_F01_far_gap_new_yaw.ply,C01,1,1,left,1,2,1,2,1,1.3379999999999999,0.04,1.3385977737916643,0.11475002799999978,DIRECT_CLUSTER_NEIGHBOR
C01_F01_far_gap_new_yaw.ply,C01,1,1,left,2,3,2,3,1,1.6899999190000004,0.03,1.6902661702288215,0.4800000000000004,DIRECT_CLUSTER_NEIGHBOR
C01_F02_new_plus_partial_all_move.ply,C01,2,1,left,0,1,0,1,1,1.293,0.0,1.293,0.09475006400000008,DIRECT_CLUSTER_NEIGHBOR
C01_F02_new_plus_partial_all_move.ply,C01,2,1,left,1,2,1,2,1,1.388,0.0,1.388,0.16475002799999983,DIRECT_CLUSTER_NEIGHBOR
C01_F02_new_plus_partial_all_move.ply,C01,2,1,left,2,3,2,3,1,1.7799999189999998,0.019999999999999997,1.7801122750096428,0.5699999999999998,DIRECT_CLUSTER_NEIGHBOR
C01_F02_new_plus_partial_all_move.ply,C01,2,1,left,3,4,3,4,1,1.3099999380000007,-0.08,1.3124404129559581,0.12000000000000077,DIRECT_CLUSTER_NEIGHBOR
C01_F03_third_new_large_gap.ply,C01,3,1,left,0,1,0,1,1,1.313,0.0,1.313,0.1147500640000001,DIRECT_CLUSTER_NEIGHBOR
C01_F03_third_new_large_gap.ply,C01,3,1,left,1,2,1,2,1,1.4280000000000002,0.02,1.4281400491548442,0.20475002800000008,DIRECT_CLUSTER_NEIGHBOR
C01_F03_third_new_large_gap.ply,C01,3,1,left,2,3,2,3,1,1.8399999190000003,0.0,1.8399999190000003,0.6300000000000003,DIRECT_CLUSTER_NEIGHBOR
C01_F03_third_new_large_gap.ply,C01,3,1,left,3,4,3,4,1,1.3999999379999997,-0.11000000000000001,1.4043147177182196,0.20999999999999974,DIRECT_CLUSTER_NEIGHBOR
C01_F03_third_new_large_gap.ply,C01,3,1,left,4,5,4,5,1,1.5099999980000005,0.15000000000000002,1.5174320393216962,0.3200000000000005,DIRECT_CLUSTER_NEIGHBOR
C01_F04_settling_rebound.ply,C01,4,1,left,0,1,0,1,1,1.303,-0.03,1.3033453111129067,0.10475006400000009,DIRECT_CLUSTER_NEIGHBOR
C01_F04_settling_rebound.ply,C01,4,1,left,1,2,1,2,1,1.408,0.06,1.4092778292444679,0.18475002799999984,DIRECT_CLUSTER_NEIGHBOR
C01_F04_settling_rebound.ply,C01,4,1,left,2,3,2,3,1,1.8099999190000005,-0.03,1.8102485207230548,0.6000000000000005,DIRECT_CLUSTER_NEIGHBOR
C01_F04_settling_rebound.ply,C01,4,1,left,3,4,3,4,1,1.3699999379999994,-0.07,1.3717870935826748,0.1799999999999995,DIRECT_CLUSTER_NEIGHBOR
C01_F04_settling_rebound.ply,C01,4,1,left,4,5,4,5,1,1.4599999980000007,0.08,1.4621901361177356,0.2700000000000007,DIRECT_CLUSTER_NEIGHBOR
C02_F00_right_complex_start.ply,C02,0,1,right,7,8,7,8,1,1.2479999999999993,-0.03,1.2483605248484904,0.04975006399999948,DIRECT_CLUSTER_NEIGHBOR
C02_F00_right_complex_start.ply,C02,0,1,right,8,9,8,9,1,1.2230000000000008,0.04,1.223653954351475,-0.00024997199999932107,DIRECT_CLUSTER_NEIGHBOR
C02_F01_right_far_gap_new.ply,C02,1,1,right,6,7,6,7,1,1.6567504240000002,0.09,1.659193167604116,0.42000000000000015,DIRECT_CLUSTER_NEIGHBOR
C02_F01_right_far_gap_new.ply,C02,1,1,right,7,8,7,8,1,1.3079999999999998,-0.08,1.3104441994987805,0.10975006399999998,DIRECT_CLUSTER_NEIGHBOR
C02_F01_right_far_gap_new.ply,C02,1,1,right,8,9,8,9,1,1.2530000000000001,0.07,1.2549537840095946,0.02975002800000004,DIRECT_CLUSTER_NEIGHBOR
C02_F02_right_new_partial.ply,C02,2,1,right,5,6,5,6,1,1.391750429,-0.11000000000000001,1.3960907050122797,0.15999999999999992,DIRECT_CLUSTER_NEIGHBOR
C02_F02_right_new_partial.ply,C02,2,1,right,6,7,6,7,1,1.7267504240000005,0.07,1.7281686916456336,0.49000000000000044,DIRECT_CLUSTER_NEIGHBOR
C02_F02_right_new_partial.ply,C02,2,1,right,7,8,7,8,1,1.3580000000000005,-0.05,1.3589201595384481,0.1597500640000007,DIRECT_CLUSTER_NEIGHBOR
C02_F02_right_new_partial.ply,C02,2,1,right,8,9,8,9,1,1.2929999999999993,0.03,1.2933479810167092,0.06975002799999919,DIRECT_CLUSTER_NEIGHBOR
C02_F03_right_third_new_yaw.ply,C02,3,1,right,4,5,4,5,1,1.489999997,0.12,1.494824401413089,0.29999999899999996,DIRECT_CLUSTER_NEIGHBOR
C02_F03_right_third_new_yaw.ply,C02,3,1,right,5,6,5,6,1,1.431750429000001,-0.06,1.433007079864467,0.20000000000000084,DIRECT_CLUSTER_NEIGHBOR
C02_F03_right_third_new_yaw.ply,C02,3,1,right,6,7,6,7,1,1.7667504239999996,0.07,1.7681366069125366,0.5299999999999996,DIRECT_CLUSTER_NEIGHBOR
C02_F03_right_third_new_yaw.ply,C02,3,1,right,7,8,7,8,1,1.4079999999999995,-0.08,1.4102708959628991,0.20975006399999963,DIRECT_CLUSTER_NEIGHBOR
C02_F03_right_third_new_yaw.ply,C02,3,1,right,8,9,8,9,1,1.3230000000000004,0.04,1.3236045481940597,0.09975002800000032,DIRECT_CLUSTER_NEIGHBOR
C02_F04_right_settling.ply,C02,4,1,right,4,5,4,5,1,1.4899999970000009,0.1,1.493351931414696,0.29999999900000085,DIRECT_CLUSTER_NEIGHBOR
C02_F04_right_settling.ply,C02,4,1,right,5,6,5,6,1,1.4317504289999992,-0.04,1.4323090766107998,0.19999999999999907,DIRECT_CLUSTER_NEIGHBOR
C02_F04_right_settling.ply,C02,4,1,right,6,7,6,7,1,1.746750424,0.05,1.747465892011681,0.51,DIRECT_CLUSTER_NEIGHBOR
C02_F04_right_settling.ply,C02,4,1,right,7,8,7,8,1,1.4079999999999995,-0.06,1.4092778292444674,0.20975006399999963,DIRECT_CLUSTER_NEIGHBOR
C02_F04_right_settling.ply,C02,4,1,right,8,9,8,9,1,1.3230000000000004,0.02,1.3231511629439778,0.09975002800000032,DIRECT_CLUSTER_NEIGHBOR
C03_F00_two_side_complex_start.ply,C03,0,1,left,0,1,0,1,1,1.223,0.02,1.2231635213658067,0.024750064000000238,DIRECT_CLUSTER_NEIGHBOR
C03_F00_two_side_complex_start.ply,C03,0,1,right,8,9,8,9,1,1.2249999999999996,0.02,1.2251632544277513,0.0017500279999995705,DIRECT_CLUSTER_NEIGHBOR
C03_F01_left_new_far_gap.ply,C03,1,1,left,0,1,0,1,1,1.283,-0.01,1.2830389705694834,0.08475006400000007,DIRECT_CLUSTER_NEIGHBOR
C03_F01_left_new_far_gap.ply,C03,1,1,left,1,2,1,2,1,1.523249972,0.05,1.5240703649103609,0.2999999999999998,DIRECT_CLUSTER_NEIGHBOR
C03_F01_left_new_far_gap.ply,C03,1,1,right,8,9,8,9,1,1.2550000000000008,-0.01,1.25503984000509,0.03175002800000071,DIRECT_CLUSTER_NEIGHBOR
C03_F02_right_new_partial_left.ply,C03,2,1,left,0,1,0,1,1,1.313,0.01,1.3130380801789412,0.1147500640000001,DIRECT_CLUSTER_NEIGHBOR
C03_F02_right_new_partial_left.ply,C03,2,1,left,1,2,1,2,1,1.593249972,0.0,1.593249972,0.3699999999999999,DIRECT_CLUSTER_NEIGHBOR
C03_F02_right_new_partial_left.ply,C03,2,1,right,7,8,7,8,1,1.3982499359999991,0.030000000000000002,1.3985717298458458,0.1999999999999993,DIRECT_CLUSTER_NEIGHBOR
C03_F02_right_new_partial_left.ply,C03,2,1,right,8,9,8,9,1,1.3149999999999995,0.02,1.3151520824604273,0.09175002799999943,DIRECT_CLUSTER_NEIGHBOR
C03_F03_two_new_both_sides.ply,C03,3,1,left,0,1,0,1,1,1.3329999999999997,0.02,1.3331500290664962,0.1347500639999999,DIRECT_CLUSTER_NEIGHBOR
C03_F03_two_new_both_sides.ply,C03,3,1,left,1,2,1,2,1,1.6132499720000002,0.009999999999999998,1.6132809650392586,0.3900000000000001,DIRECT_CLUSTER_NEIGHBOR
C03_F03_two_new_both_sides.ply,C03,3,1,left,2,3,2,3,1,1.3099999189999996,0.05,1.3109537702680463,0.09999999999999964,DIRECT_CLUSTER_NEIGHBOR
C03_F03_two_new_both_sides.ply,C03,3,1,right,6,7,6,7,1,1.576750424,0.03,1.5770357952767529,0.3400000000000001,DIRECT_CLUSTER_NEIGHBOR
C03_F03_two_new_both_sides.ply,C03,3,1,right,7,8,7,8,1,1.4132499359999997,0.04,1.413815893815034,0.21499999999999986,DIRECT_CLUSTER_NEIGHBOR
C03_F03_two_new_both_sides.ply,C03,3,1,right,8,9,8,9,1,1.33,0.0,1.33,0.106750028,DIRECT_CLUSTER_NEIGHBOR
C03_F04_two_side_with_occluded.ply,C03,4,1,left,0,1,0,1,1,1.3329999999999997,0.04,1.3336000149970002,0.1347500639999999,DIRECT_CLUSTER_NEIGHBOR
C03_F04_two_side_with_occluded.ply,C03,4,1,left,1,2,1,2,1,1.6132499720000002,-0.009999999999999998,1.6132809650392586,0.3900000000000001,DIRECT_CLUSTER_NEIGHBOR
C03_F04_two_side_with_occluded.ply,C03,4,1,left,2,3,2,3,1,1.309999919,0.06999999999999999,1.3118688150040028,0.10000000000000009,DIRECT_CLUSTER_NEIGHBOR
C03_F04_two_side_with_occluded.ply,C03,4,1,right,6,7,6,7,1,1.576750424,0.049999999999999996,1.57754299452794,0.3400000000000001,DIRECT_CLUSTER_NEIGHBOR
C03_F04_two_side_with_occluded.ply,C03,4,1,right,7,8,7,8,1,1.4132499360000015,0.02,1.4133914466997486,0.21500000000000163,DIRECT_CLUSTER_NEIGHBOR
C03_F04_two_side_with_occluded.ply,C03,4,1,right,8,9,8,9,1,1.33,0.02,1.3301503674397117,0.106750028,DIRECT_CLUSTER_NEIGHBOR
C03_F05_occluded_return_partial.ply,C03,5,1,left,0,1,0,1,1,1.3330000000000002,0.04,1.3336000149970006,0.13475006400000034,DIRECT_CLUSTER_NEIGHBOR
C03_F05_occluded_return_partial.ply,C03,5,1,left,1,2,1,2,1,1.6132499719999998,-0.009999999999999998,1.613280965039258,0.3899999999999997,DIRECT_CLUSTER_NEIGHBOR
C03_F05_occluded_return_partial.ply,C03,5,1,left,2,3,2,3,1,1.3099999190000005,0.06999999999999999,1.3118688150040032,0.10000000000000053,DIRECT_CLUSTER_NEIGHBOR
C03_F05_occluded_return_partial.ply,C03,5,1,right,6,7,6,7,1,1.576750424,0.049999999999999996,1.57754299452794,0.3400000000000001,DIRECT_CLUSTER_NEIGHBOR
C03_F05_occluded_return_partial.ply,C03,5,1,right,7,8,7,8,1,1.4132499359999997,0.02,1.4133914466997468,0.21499999999999986,DIRECT_CLUSTER_NEIGHBOR
C03_F05_occluded_return_partial.ply,C03,5,1,right,8,9,8,9,1,1.33,0.02,1.3301503674397117,0.106750028,DIRECT_CLUSTER_NEIGHBOR
C04_F00_same_geom_start.ply,C04,0,1,left,0,1,0,1,1,1.2349999999999999,0.0,1.2349999999999999,0.02850006599999988,DIRECT_CLUSTER_NEIGHBOR
C04_F00_same_geom_start.ply,C04,0,1,left,1,2,1,2,1,1.235,0.0,1.235,0.0285000660000001,DIRECT_CLUSTER_NEIGHBOR
C04_F00_same_geom_start.ply,C04,0,1,left,2,3,2,3,1,1.2350000000000003,0.0,1.2350000000000003,0.028500066000000324,DIRECT_CLUSTER_NEIGHBOR
C04_F00_same_geom_start.ply,C04,0,1,left,3,4,3,4,1,1.2349999999999994,0.0,1.2349999999999994,0.028500065999999435,DIRECT_CLUSTER_NEIGHBOR
