file,sequence_id,frame_index,upper_global_id,upper_slot,lower_left_global_id,lower_right_global_id,support_center_x,support_center_y,support_center_z,upper_center_x,upper_center_y,upper_center_z,support_offset_xy_m,relation
D01_F01_l2_new_support0.ply,D01,1,10,0,0,1,1.6099999999999999,0.0,1.6183987179478947,1.6099999999999999,0.0,1.6183987179478947,0.0,SUPPORTED_BY
D01_F02_l2_new_support1.ply,D01,2,10,0,0,1,1.6099999999999999,0.0,1.6183987179478947,1.6099999999999999,0.0,1.6183987179478947,0.0,SUPPORTED_BY
D01_F02_l2_new_support1.ply,D01,2,11,1,1,2,2.83,0.0,1.6183987179478947,2.83,0.0,1.6183987179478947,0.0,SUPPORTED_BY
D01_F03_upper_settle_l1_locked.ply,D01,3,10,0,0,1,1.6099999999999999,0.0,1.6183987179478947,1.66,0.0,1.6183987179478947,0.050000000000000044,SUPPORTED_BY
D01_F03_upper_settle_l1_locked.ply,D01,3,11,1,1,2,2.83,0.0,1.6183987179478947,2.79,0.0,1.6183987179478947,0.040000000000000036,SUPPORTED_BY
D02_F01_right_new_support8.ply,D02,1,18,8,8,9,11.370000000000001,0.0,1.6183987179478947,11.370000000000001,0.0,1.6183987179478947,0.0,SUPPORTED_BY
D02_F02_right_new_support7.ply,D02,2,17,7,7,8,10.149999999999999,0.0,1.6183987179478947,10.149999999999999,0.0,1.6183987179478947,0.0,SUPPORTED_BY
D02_F02_right_new_support7.ply,D02,2,18,8,8,9,11.370000000000001,0.0,1.6183987179478947,11.340000000000002,0.0,1.6183987179478947,0.02999999999999936,SUPPORTED_BY
D02_F03_right_new_support6.ply,D02,3,16,6,6,7,8.93,0.0,1.6183987179478947,8.93,0.0,1.6183987179478947,0.0,SUPPORTED_BY
D02_F03_right_new_support6.ply,D02,3,17,7,7,8,10.149999999999999,0.0,1.6183987179478947,10.189999999999998,0.0,1.6183987179478947,0.03999999999999915,SUPPORTED_BY
D02_F03_right_new_support6.ply,D02,3,18,8,8,9,11.370000000000001,0.0,1.6183987179478947,11.370000000000001,0.0,1.6183987179478947,0.0,SUPPORTED_BY
